Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,Vera,FallenGameR,Tekken 7,FallenGameR,true,Jin Kazama,,,Master Raven,,,
2,Pobeditel,Gospodi,Tekken 7,Pobeditel,true,Jin Kazama,,,Hwoarang,,,
3,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Katarina Alves,,,Yoshimitsu,,,
4,Pobeditel,Vera,Tekken 7,Pobeditel,false,Leo,,,Lars,,,
5,Gospodi,FallenGameR,Tekken 7,FallenGameR,true,Bob,,,Katarina Alves,,,
6,Vera,Pobeditel,Tekken 7,Pobeditel,true,Kazumi Mishima,,,Negan,,,
7,Gospodi,Pobeditel,Tekken 7,Gospodi,true,Master Raven,,,Feng Wei,,,
8,Gospodi,Vera,Tekken 7,Vera,true,Josie Rizal,,,Eddy Gordo,,,
9,FallenGameR,Vera,Tekken 7,FallenGameR,true,Steve Fox,,,Marshall Law,,,
10,Vera,Gospodi,Tekken 7,Vera,true,Leo,,,Lucky Chloe,,,
11,Pobeditel,FallenGameR,Tekken 7,FallenGameR,true,Devil Jin,,,Anna Williams,,,
12,FallenGameR,Gospodi,Tekken 7,FallenGameR,true,Nina Williams,,,Leo,,,
13,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Lili,,,King,,,
14,Gospodi,Pobeditel,Tekken 7,Pobeditel,true,Miguel,,,Lili,,,
15,Vera,Pobeditel,Tekken 7,Pobeditel,true,Nina Williams,,,Kazumi Mishima,,,
16,Vera,FallenGameR,Tekken 7,FallenGameR,true,Akuma,,,Lee Chaolan,,,
17,FallenGameR,Gospodi,Tekken 7,FallenGameR,true,Master Raven,,,Jin Kazama,,,
18,FallenGameR,Vera,Soul Calibur 6,FallenGameR,true,Zasalamel,,,Yoshimitsu,,,
19,Vera,Gospodi,Soul Calibur 6,Gospodi,true,Taki,,,Astaroth,,,
20,Gospodi,FallenGameR,Soul Calibur 6,FallenGameR,true,Nightmare,,,Siegfried,,,
21,Pobeditel,Gospodi,Soul Calibur 6,Gospodi,true,Talim,,,Taki,,,
22,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,false,Geralt,,,Groh,,,
23,Gospodi,Vera,Soul Calibur 6,Vera,true,Kilik,,,Tira,,,
1,Vera,FallenGameR,Tekken 7,FallenGameR,true,Jin Kazama,,,Master Raven,,,
2,Pobeditel,Gospodi,Tekken 7,Pobeditel,true,Jin Kazama,,,Hwoarang,,,
3,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Katarina Alves,,,Yoshimitsu,,,
4,Pobeditel,Vera,Tekken 7,Pobeditel,false,Leo,,,Lars,,,
5,Gospodi,FallenGameR,Tekken 7,FallenGameR,true,Bob,,,Katarina Alves,,,
6,Vera,Pobeditel,Tekken 7,Pobeditel,true,Kazumi Mishima,,,Negan,,,
7,Gospodi,Pobeditel,Tekken 7,Gospodi,true,Master Raven,,,Feng Wei,,,
8,Gospodi,Vera,Tekken 7,Vera,true,Josie Rizal,,,Eddy Gordo,,,
9,FallenGameR,Vera,Tekken 7,FallenGameR,true,Steve Fox,,,Marshall Law,,,
10,Vera,Gospodi,Tekken 7,Vera,true,Leo,,,Lucky Chloe,,,
11,Pobeditel,FallenGameR,Tekken 7,FallenGameR,true,Devil Jin,,,Anna Williams,,,
12,FallenGameR,Gospodi,Tekken 7,FallenGameR,true,Nina Williams,,,Leo,,,
13,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Lili,,,King,,,
14,Gospodi,Pobeditel,Tekken 7,Pobeditel,true,Miguel,,,Lili,,,
15,Vera,Pobeditel,Tekken 7,Pobeditel,true,Nina Williams,,,Kazumi Mishima,,,
16,Vera,FallenGameR,Tekken 7,FallenGameR,true,Akuma,,,Lee Chaolan,,,
17,FallenGameR,Gospodi,Tekken 7,FallenGameR,true,Master Raven,,,Jin Kazama,,,
18,FallenGameR,Vera,Soul Calibur 6,FallenGameR,true,Zasalamel,,,Yoshimitsu,,,
19,Vera,Gospodi,Soul Calibur 6,Gospodi,true,Taki,,,Astaroth,,,
20,Gospodi,FallenGameR,Soul Calibur 6,FallenGameR,true,Nightmare,,,Siegfried,,,
21,Pobeditel,Gospodi,Soul Calibur 6,Gospodi,true,Talim,,,Taki,,,
22,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,false,Geralt,,,Groh,,,
23,Gospodi,Vera,Soul Calibur 6,Vera,true,Kilik,,,Tira,,,
24,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Geras,,,Jacqui Briggs,,,
25,Gospodi,Vera,Mortal Kombat 11,Draw,true,Scorpion,,,Kano,,,
26,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Sonya,,,Raiden,,,
27,Vera,Gospodi,Mortal Kombat 11,Draw,true,Jade,,,D'Vorah,,,
28,FallenGameR,Pobeditel,Mortal Kombat 11,Pobeditel,true,Kabal,,,Erron Black,,,
29,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Kano,,,Kano,,,
30,FallenGameR,Gospodi,Mortal Kombat 11,Draw,true,Geras,,,Sonya,,,
31,Gospodi,FallenGameR,Mortal Kombat 11,Draw,true,Cetrion,,,Kung Lao,,,
32,FallenGameR,Vera,Mortal Kombat 11,FallenGameR,true,Kung Lao,,,Jacqui Briggs,,,
1,Vera,FallenGameR,Tekken 7,FallenGameR,true,Jin Kazama,,,Master Raven,,,
2,Pobeditel,Gospodi,Tekken 7,Pobeditel,true,Jin Kazama,,,Hwoarang,,,
3,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Katarina Alves,,,Yoshimitsu,,,
4,Pobeditel,Vera,Tekken 7,Pobeditel,false,Leo,,,Lars,,,
5,Gospodi,FallenGameR,Tekken 7,FallenGameR,true,Bob,,,Katarina Alves,,,
6,Vera,Pobeditel,Tekken 7,Pobeditel,true,Kazumi Mishima,,,Negan,,,
7,Gospodi,Pobeditel,Tekken 7,Gospodi,true,Master Raven,,,Feng Wei,,,
8,Gospodi,Vera,Tekken 7,Vera,true,Josie Rizal,,,Eddy Gordo,,,
9,FallenGameR,Vera,Tekken 7,FallenGameR,true,Steve Fox,,,Marshall Law,,,
10,Vera,Gospodi,Tekken 7,Vera,true,Leo,,,Lucky Chloe,,,
11,Pobeditel,FallenGameR,Tekken 7,FallenGameR,true,Devil Jin,,,Anna Williams,,,
12,FallenGameR,Gospodi,Tekken 7,FallenGameR,true,Nina Williams,,,Leo,,,
13,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Lili,,,King,,,
14,Gospodi,Pobeditel,Tekken 7,Pobeditel,true,Miguel,,,Lili,,,
15,Vera,Pobeditel,Tekken 7,Pobeditel,true,Nina Williams,,,Kazumi Mishima,,,
16,Vera,FallenGameR,Tekken 7,FallenGameR,true,Akuma,,,Lee Chaolan,,,
17,FallenGameR,Gospodi,Tekken 7,FallenGameR,true,Master Raven,,,Jin Kazama,,,
18,FallenGameR,Vera,Soul Calibur 6,FallenGameR,true,Zasalamel,,,Yoshimitsu,,,
19,Vera,Gospodi,Soul Calibur 6,Gospodi,true,Taki,,,Astaroth,,,
20,Gospodi,FallenGameR,Soul Calibur 6,FallenGameR,true,Nightmare,,,Siegfried,,,
21,Pobeditel,Gospodi,Soul Calibur 6,Gospodi,true,Talim,,,Taki,,,
22,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,false,Geralt,,,Groh,,,
23,Gospodi,Vera,Soul Calibur 6,Vera,true,Kilik,,,Tira,,,
24,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Geras,,,Jacqui Briggs,,,
25,Gospodi,Vera,Mortal Kombat 11,Draw,true,Scorpion,,,Kano,,,
26,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Sonya,,,Raiden,,,
27,Vera,Gospodi,Mortal Kombat 11,Draw,true,Jade,,,D'Vorah,,,
28,FallenGameR,Pobeditel,Mortal Kombat 11,Pobeditel,true,Kabal,,,Erron Black,,,
29,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Kano,,,Kano,,,
30,FallenGameR,Gospodi,Mortal Kombat 11,Draw,true,Geras,,,Sonya,,,
31,Gospodi,FallenGameR,Mortal Kombat 11,Draw,true,Cetrion,,,Kung Lao,,,
32,FallenGameR,Vera,Mortal Kombat 11,FallenGameR,true,Kung Lao,,,Jacqui Briggs,,,
1,Vera,FallenGameR,Tekken 7,FallenGameR,true,Jin Kazama,,,Master Raven,,,
2,Pobeditel,Gospodi,Tekken 7,Pobeditel,true,Jin Kazama,,,Hwoarang,,,
3,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Katarina Alves,,,Yoshimitsu,,,
4,Pobeditel,Vera,Tekken 7,Pobeditel,false,Leo,,,Lars,,,
5,Gospodi,FallenGameR,Tekken 7,FallenGameR,true,Bob,,,Katarina Alves,,,
6,Vera,Pobeditel,Tekken 7,Pobeditel,true,Kazumi Mishima,,,Negan,,,
7,Gospodi,Pobeditel,Tekken 7,Gospodi,true,Master Raven,,,Feng Wei,,,
8,Gospodi,Vera,Tekken 7,Vera,true,Josie Rizal,,,Eddy Gordo,,,
9,FallenGameR,Vera,Tekken 7,FallenGameR,true,Steve Fox,,,Marshall Law,,,
10,Vera,Gospodi,Tekken 7,Vera,true,Leo,,,Lucky Chloe,,,
11,Pobeditel,FallenGameR,Tekken 7,FallenGameR,true,Devil Jin,,,Anna Williams,,,
12,FallenGameR,Gospodi,Tekken 7,FallenGameR,true,Nina Williams,,,Leo,,,
13,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Lili,,,King,,,
14,Gospodi,Pobeditel,Tekken 7,Pobeditel,true,Miguel,,,Lili,,,
15,Vera,Pobeditel,Tekken 7,Pobeditel,true,Nina Williams,,,Kazumi Mishima,,,
16,Vera,FallenGameR,Tekken 7,FallenGameR,true,Akuma,,,Lee Chaolan,,,
17,FallenGameR,Gospodi,Tekken 7,FallenGameR,true,Master Raven,,,Jin Kazama,,,
18,FallenGameR,Vera,Soul Calibur 6,FallenGameR,true,Zasalamel,,,Yoshimitsu,,,
19,Vera,Gospodi,Soul Calibur 6,Gospodi,true,Taki,,,Astaroth,,,
20,Gospodi,FallenGameR,Soul Calibur 6,FallenGameR,true,Nightmare,,,Siegfried,,,
21,Pobeditel,Gospodi,Soul Calibur 6,Gospodi,true,Talim,,,Taki,,,
22,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,false,Geralt,,,Groh,,,
23,Gospodi,Vera,Soul Calibur 6,Vera,true,Kilik,,,Tira,,,
24,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Geras,,,Jacqui Briggs,,,
25,Gospodi,Vera,Mortal Kombat 11,Draw,true,Scorpion,,,Kano,,,
26,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Sonya,,,Raiden,,,
27,Vera,Gospodi,Mortal Kombat 11,Draw,true,Jade,,,D'Vorah,,,
28,FallenGameR,Pobeditel,Mortal Kombat 11,Pobeditel,true,Kabal,,,Erron Black,,,
29,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Kano,,,Kano,,,
30,FallenGameR,Gospodi,Mortal Kombat 11,Draw,true,Geras,,,Sonya,,,
31,Gospodi,FallenGameR,Mortal Kombat 11,Draw,true,Cetrion,,,Kung Lao,,,
32,FallenGameR,Vera,Mortal Kombat 11,FallenGameR,true,Kung Lao,,,Jacqui Briggs,,,
