Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,Vera,Pobeditel,Dead or Alive 6,Pobeditel,true,La Mariposa,,,Jann Lee,,,
2,Pobeditel,Vera,Dead or Alive 6,Pobeditel,true,Kasumi,,,Phase-4,,,
3,FallenGameR,Pobeditel,Dead or Alive 6,Pobeditel,false,Honoka,,,Hitomi,,,
4,Vera,FallenGameR,Dead or Alive 6,FallenGameR,true,Brad Wong,,,Diego,,,
5,Pobeditel,FallenGameR,Dead or Alive 6,FallenGameR,true,Bass,,,Brad Wong,,,
6,FallenGameR,Vera,Dead or Alive 6,FallenGameR,true,NiCO,,,La Mariposa,,,
7,Vera,FallenGameR,Dead or Alive 6,FallenGameR,true,Kasumi,,,Bayman,,,
8,Vera,Pobeditel,Dead or Alive 6,Vera,true,Kokoro,,,Marie Rose,,,
9,FallenGameR,Vera,Dead or Alive 6,FallenGameR,false,Bass,,,Brad Wong,,,
10,FallenGameR,Pobeditel,Dead or Alive 6,Pobeditel,true,Brad Wong,,,Leifang,,,
1,Vera,Pobeditel,Dead or Alive 6,Pobeditel,true,La Mariposa,,,Jann Lee,,,
2,Pobeditel,Vera,Dead or Alive 6,Pobeditel,true,Kasumi,,,Phase-4,,,
3,FallenGameR,Pobeditel,Dead or Alive 6,Pobeditel,false,Honoka,,,Hitomi,,,
4,Vera,FallenGameR,Dead or Alive 6,FallenGameR,true,Brad Wong,,,Diego,,,
5,Pobeditel,FallenGameR,Dead or Alive 6,FallenGameR,true,Bass,,,Brad Wong,,,
6,FallenGameR,Vera,Dead or Alive 6,FallenGameR,true,NiCO,,,La Mariposa,,,
7,Vera,FallenGameR,Dead or Alive 6,FallenGameR,true,Kasumi,,,Bayman,,,
8,Vera,Pobeditel,Dead or Alive 6,Vera,true,Kokoro,,,Marie Rose,,,
9,FallenGameR,Vera,Dead or Alive 6,FallenGameR,false,Bass,,,Brad Wong,,,
10,FallenGameR,Pobeditel,Dead or Alive 6,Pobeditel,true,Brad Wong,,,Leifang,,,
