Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,Vera,Pobeditel,Tekken 7,Pobeditel,true,Yoshimitsu,,,Jin Kazama,,,
2,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Leo,,,Jack-7,,,
3,Vera,FallenGameR,Tekken 7,FallenGameR,true,Negan,,,Master Raven,,,
4,Pobeditel,FallenGameR,Tekken 7,FallenGameR,false,Alisa,,,Marduk,,,
5,FallenGameR,Vera,Tekken 7,FallenGameR,false,Geese Howard,,,Shaheen,,,
6,Pobeditel,Vera,Tekken 7,Pobeditel,true,Eddy Gordo,,,Bryan Fury,,,
7,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Asuka Kazama,,,Shaheen,,,
1,Vera,Pobeditel,Tekken 7,Pobeditel,true,Yoshimitsu,,,Jin Kazama,,,
2,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Leo,,,Jack-7,,,
3,Vera,FallenGameR,Tekken 7,FallenGameR,true,Negan,,,Master Raven,,,
4,Pobeditel,FallenGameR,Tekken 7,FallenGameR,false,Alisa,,,Marduk,,,
5,FallenGameR,Vera,Tekken 7,FallenGameR,false,Geese Howard,,,Shaheen,,,
6,Pobeditel,Vera,Tekken 7,Pobeditel,true,Eddy Gordo,,,Bryan Fury,,,
7,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Asuka Kazama,,,Shaheen,,,
8,FallenGameR,Vera,Mortal Kombat 11,Vera,false,Jax Briggs,,,Kotal Kahn,,,
9,Pobeditel,FallenGameR,Mortal Kombat 11,FallenGameR,false,Sub-Zero,,,Kabal,,,
