Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,FallenGameR,Vera,Mortal Kombat 11,FallenGameR,true,Jax Briggs,,,Skarlet,,,
2,Pobeditel,FallenGameR,Mortal Kombat 11,Pobeditel,true,Shao Kahn,,,Kung Lao,,,
3,Pobeditel,Vera,Mortal Kombat 11,Vera,true,The Kollector,,,Sub-Zero,,,
4,Vera,Pobeditel,Mortal Kombat 11,Pobeditel,true,Shao Kahn,,,Raiden,,,
5,FallenGameR,Pobeditel,Mortal Kombat 11,FallenGameR,true,Geras,,,Liu Kang,,,
6,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Skarlet,,,Cassie Cage,,,
7,Vera,Pobeditel,Mortal Kombat 11,Pobeditel,true,Erron Black,,,Sonya,,,
8,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Cetrion,,,Kung Lao,,,
9,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Baraka,,,Erron Black,,,
10,FallenGameR,Pobeditel,Mortal Kombat 11,Pobeditel,true,Johnny Cage,,,Kotal Kahn,,,
11,Pobeditel,FallenGameR,Mortal Kombat 11,FallenGameR,true,Cassie Cage,,,Cetrion,,,
12,FallenGameR,Vera,Mortal Kombat 11,FallenGameR,true,Johnny Cage,,,Shao Kahn,,,
13,Pobeditel,FallenGameR,Mortal Kombat 11,FallenGameR,true,Kabal,,,Erron Black,,,
14,Vera,Pobeditel,Mortal Kombat 11,Pobeditel,true,Raiden,,,Jade,,,
15,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Sonya,,,Cassie Cage,,,
16,FallenGameR,Vera,Mortal Kombat 11,Vera,true,Cassie Cage,,,Kabal,,,
17,FallenGameR,Pobeditel,Mortal Kombat 11,FallenGameR,true,Sonya,,,Jax Briggs,,,
18,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Kung Lao,,,Liu Kang,,,
19,FallenGameR,Pobeditel,Mortal Kombat 11,FallenGameR,true,Geras,,,Kung Lao,,,
20,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Johnny Cage,,,Noob Saibot,,,
21,FallenGameR,Vera,Mortal Kombat 11,FallenGameR,true,Jacqui Briggs,,,The Kollector,,,
22,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Sonya,,,Erron Black,,,
23,Vera,Pobeditel,Mortal Kombat 11,Pobeditel,true,Raiden,,,Cassie Cage,,,
24,Pobeditel,FallenGameR,Mortal Kombat 11,FallenGameR,true,Jax Briggs,,,Jacqui Briggs,,,
25,Pobeditel,FallenGameR,Mortal Kombat 11,Pobeditel,true,Cetrion,,,Sonya,,,
26,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Kano,,,Noob Saibot,,,
1,FallenGameR,Vera,Mortal Kombat 11,FallenGameR,true,Jax Briggs,,,Skarlet,,,
2,Pobeditel,FallenGameR,Mortal Kombat 11,Pobeditel,true,Shao Kahn,,,Kung Lao,,,
3,Pobeditel,Vera,Mortal Kombat 11,Vera,true,The Kollector,,,Sub-Zero,,,
4,Vera,Pobeditel,Mortal Kombat 11,Pobeditel,true,Shao Kahn,,,Raiden,,,
5,FallenGameR,Pobeditel,Mortal Kombat 11,FallenGameR,true,Geras,,,Liu Kang,,,
6,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Skarlet,,,Cassie Cage,,,
7,Vera,Pobeditel,Mortal Kombat 11,Pobeditel,true,Erron Black,,,Sonya,,,
8,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Cetrion,,,Kung Lao,,,
9,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Baraka,,,Erron Black,,,
10,FallenGameR,Pobeditel,Mortal Kombat 11,Pobeditel,true,Johnny Cage,,,Kotal Kahn,,,
11,Pobeditel,FallenGameR,Mortal Kombat 11,FallenGameR,true,Cassie Cage,,,Cetrion,,,
12,FallenGameR,Vera,Mortal Kombat 11,FallenGameR,true,Johnny Cage,,,Shao Kahn,,,
13,Pobeditel,FallenGameR,Mortal Kombat 11,FallenGameR,true,Kabal,,,Erron Black,,,
14,Vera,Pobeditel,Mortal Kombat 11,Pobeditel,true,Raiden,,,Jade,,,
15,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Sonya,,,Cassie Cage,,,
16,FallenGameR,Vera,Mortal Kombat 11,Vera,true,Cassie Cage,,,Kabal,,,
17,FallenGameR,Pobeditel,Mortal Kombat 11,FallenGameR,true,Sonya,,,Jax Briggs,,,
18,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Kung Lao,,,Liu Kang,,,
19,FallenGameR,Pobeditel,Mortal Kombat 11,FallenGameR,true,Geras,,,Kung Lao,,,
20,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Johnny Cage,,,Noob Saibot,,,
21,FallenGameR,Vera,Mortal Kombat 11,FallenGameR,true,Jacqui Briggs,,,The Kollector,,,
22,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Sonya,,,Erron Black,,,
23,Vera,Pobeditel,Mortal Kombat 11,Pobeditel,true,Raiden,,,Cassie Cage,,,
24,Pobeditel,FallenGameR,Mortal Kombat 11,FallenGameR,true,Jax Briggs,,,Jacqui Briggs,,,
25,Pobeditel,FallenGameR,Mortal Kombat 11,Pobeditel,true,Cetrion,,,Sonya,,,
26,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Kano,,,Noob Saibot,,,
