Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,Pobeditel,FallenGameR,Mortal Kombat 11,Pobeditel,true,The Kollector,,,Kotal Kahn,,,
2,FallenGameR,Pobeditel,Mortal Kombat 11,Pobeditel,false,The Kollector,,,Liu Kang,,,
3,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Kung Lao,,,Raiden,,,
4,Gospodi,Vera,Mortal Kombat 11,Gospodi,true,Kotal Kahn,,,Noob Saibot,,,
5,Gospodi,FallenGameR,Mortal Kombat 11,FallenGameR,true,Jacqui Briggs,,,Cassie Cage,,,
6,Gospodi,Pobeditel,Mortal Kombat 11,Pobeditel,true,Geras,,,Frost,,,
7,Pobeditel,Gospodi,Mortal Kombat 11,Gospodi,true,D'Vorah,,,Frost,,,
8,Vera,Gospodi,Mortal Kombat 11,Gospodi,true,The Kollector,,,Liu Kang,,,
9,FallenGameR,Gospodi,Dead or Alive 6,FallenGameR,true,Bass,,,Kokoro,,,
10,Vera,Pobeditel,Dead or Alive 6,Vera,true,Kasumi,,,Leifang,,,
11,FallenGameR,Vera,Dead or Alive 6,FallenGameR,true,Kokoro,,,Mila,,,
12,Pobeditel,Vera,Dead or Alive 6,Pobeditel,true,Helena,,,Bass,,,
13,Gospodi,Vera,Dead or Alive 6,Vera,true,La Mariposa,,,Helena,,,
14,FallenGameR,Vera,Dead or Alive 6,FallenGameR,true,Phase-4,,,Marie Rose,,,
15,Gospodi,Pobeditel,Dead or Alive 6,Pobeditel,true,Marie Rose,,,Jann Lee,,,
16,FallenGameR,Gospodi,Dead or Alive 6,Gospodi,true,Ayane,,,Bass,,,
17,FallenGameR,Pobeditel,Dead or Alive 6,FallenGameR,true,Nyotengu,,,Christie,,,
18,Gospodi,FallenGameR,Dead or Alive 6,FallenGameR,true,Hayate,,,Honoka,,,
19,Vera,Pobeditel,Dead or Alive 6,Pobeditel,true,Kokoro,,,NiCO,,,
20,Pobeditel,Vera,Dead or Alive 6,Pobeditel,true,Helena,,,NiCO,,,
21,Vera,Gospodi,Dead or Alive 6,Vera,true,Hitomi,,,NiCO,,,
22,Vera,FallenGameR,Dead or Alive 6,FallenGameR,true,Christie,,,Diego,,,
23,Pobeditel,FallenGameR,Dead or Alive 6,Pobeditel,true,Honoka,,,Eliot,,,
24,Pobeditel,Gospodi,Dead or Alive 6,Pobeditel,true,Mila,,,Kasumi,,,
25,Pobeditel,FallenGameR,Dead or Alive 6,FallenGameR,true,Eliot,,,Kokoro,,,
26,Pobeditel,Vera,Dead or Alive 6,Pobeditel,true,Ayane,,,Brad Wong,,,
27,FallenGameR,Pobeditel,Dead or Alive 6,FallenGameR,true,Bass,,,La Mariposa,,,
28,Vera,Gospodi,Dead or Alive 6,Vera,true,Bayman,,,Kokoro,,,
29,Vera,FallenGameR,Dead or Alive 6,FallenGameR,true,Nyotengu,,,Phase-4,,,
30,Pobeditel,Gospodi,Dead or Alive 6,Pobeditel,true,Raidou,,,Zack,,,
1,Pobeditel,FallenGameR,Mortal Kombat 11,Pobeditel,true,The Kollector,,,Kotal Kahn,,,
2,FallenGameR,Pobeditel,Mortal Kombat 11,Pobeditel,false,The Kollector,,,Liu Kang,,,
3,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,true,Kung Lao,,,Raiden,,,
4,Gospodi,Vera,Mortal Kombat 11,Gospodi,true,Kotal Kahn,,,Noob Saibot,,,
5,Gospodi,FallenGameR,Mortal Kombat 11,FallenGameR,true,Jacqui Briggs,,,Cassie Cage,,,
6,Gospodi,Pobeditel,Mortal Kombat 11,Pobeditel,true,Geras,,,Frost,,,
7,Pobeditel,Gospodi,Mortal Kombat 11,Gospodi,true,D'Vorah,,,Frost,,,
8,Vera,Gospodi,Mortal Kombat 11,Gospodi,true,The Kollector,,,Liu Kang,,,
9,FallenGameR,Gospodi,Dead or Alive 6,FallenGameR,true,Bass,,,Kokoro,,,
10,Vera,Pobeditel,Dead or Alive 6,Vera,true,Kasumi,,,Leifang,,,
11,FallenGameR,Vera,Dead or Alive 6,FallenGameR,true,Kokoro,,,Mila,,,
12,Pobeditel,Vera,Dead or Alive 6,Pobeditel,true,Helena,,,Bass,,,
13,Gospodi,Vera,Dead or Alive 6,Vera,true,La Mariposa,,,Helena,,,
14,FallenGameR,Vera,Dead or Alive 6,FallenGameR,true,Phase-4,,,Marie Rose,,,
15,Gospodi,Pobeditel,Dead or Alive 6,Pobeditel,true,Marie Rose,,,Jann Lee,,,
16,FallenGameR,Gospodi,Dead or Alive 6,Gospodi,true,Ayane,,,Bass,,,
17,FallenGameR,Pobeditel,Dead or Alive 6,FallenGameR,true,Nyotengu,,,Christie,,,
18,Gospodi,FallenGameR,Dead or Alive 6,FallenGameR,true,Hayate,,,Honoka,,,
19,Vera,Pobeditel,Dead or Alive 6,Pobeditel,true,Kokoro,,,NiCO,,,
20,Pobeditel,Vera,Dead or Alive 6,Pobeditel,true,Helena,,,NiCO,,,
21,Vera,Gospodi,Dead or Alive 6,Vera,true,Hitomi,,,NiCO,,,
22,Vera,FallenGameR,Dead or Alive 6,FallenGameR,true,Christie,,,Diego,,,
23,Pobeditel,FallenGameR,Dead or Alive 6,Pobeditel,true,Honoka,,,Eliot,,,
24,Pobeditel,Gospodi,Dead or Alive 6,Pobeditel,true,Mila,,,Kasumi,,,
25,Pobeditel,FallenGameR,Dead or Alive 6,FallenGameR,true,Eliot,,,Kokoro,,,
26,Pobeditel,Vera,Dead or Alive 6,Pobeditel,true,Ayane,,,Brad Wong,,,
27,FallenGameR,Pobeditel,Dead or Alive 6,FallenGameR,true,Bass,,,La Mariposa,,,
28,Vera,Gospodi,Dead or Alive 6,Vera,true,Bayman,,,Kokoro,,,
29,Vera,FallenGameR,Dead or Alive 6,FallenGameR,true,Nyotengu,,,Phase-4,,,
30,Pobeditel,Gospodi,Dead or Alive 6,Pobeditel,true,Raidou,,,Zack,,,
