Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,Pobeditel,FallenGameR,Tekken 7,FallenGameR,true,Panda,,,Ling Xiaoyu,,,
2,Pobeditel,Vera,Tekken 7,Vera,true,Eddy Gordo,,,Master Raven,,,
3,Pobeditel,FallenGameR,Tekken 7,FallenGameR,true,Yoshimitsu,,,Lili,,,
4,Vera,FallenGameR,Tekken 7,FallenGameR,true,Lili,,,Kazumi Mishima,,,
5,FallenGameR,Vera,Tekken 7,FallenGameR,true,Anna Williams,,,Katarina Alves,,,
6,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Lili,,,Marshall Law,,,
7,Vera,FallenGameR,Tekken 7,FallenGameR,true,Anna Williams,,,Heihachi Mishima,,,
8,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Bryan Fury,,,Ling Xiaoyu,,,
9,Pobeditel,Vera,Tekken 7,Vera,true,Lei Wulong,,,Lucky Chloe,,,
10,Vera,Pobeditel,Tekken 7,Pobeditel,true,Hwoarang,,,Josie Rizal,,,
11,Pobeditel,Vera,Tekken 7,Vera,true,King,,,Alisa,,,
12,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Shaheen,,,Miguel,,,
13,Pobeditel,FallenGameR,Tekken 7,Pobeditel,true,King,,,Paul Phoenix,,,
14,Vera,Pobeditel,Tekken 7,Pobeditel,true,Eliza,,,Alisa,,,
15,Vera,FallenGameR,Tekken 7,FallenGameR,true,Alisa,,,Marshall Law,,,
16,Vera,Pobeditel,Tekken 7,Pobeditel,true,Asuka Kazama,,,Miguel,,,
17,FallenGameR,Vera,Tekken 7,FallenGameR,true,Miguel,,,Asuka Kazama,,,
18,FallenGameR,Vera,Tekken 7,Vera,true,Asuka Kazama,,,Heihachi Mishima,,,
19,Vera,Pobeditel,Tekken 7,Vera,true,Kuma,,,Bryan Fury,,,
20,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Kuma,,,Asuka Kazama,,,
21,Vera,FallenGameR,Tekken 7,FallenGameR,true,Noctis Lucis,,,Sergei Dragunov,,,
22,Pobeditel,FallenGameR,Tekken 7,FallenGameR,true,Kazuya Mishima,,,Lili,,,
23,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Lee Chaolan,,,Marshall Law,,,
24,Vera,FallenGameR,Tekken 7,FallenGameR,true,Lei Wulong,,,Claudio Serafino,,,
25,Pobeditel,Vera,King of Fighters,Pobeditel,true,Whip,,,Kim,,,
26,Pobeditel,Vera,King of Fighters,Pobeditel,true,Hein,,,Rock,,,
27,Vera,FallenGameR,King of Fighters,Vera,true,Goro,,,Ryo,,,
28,Pobeditel,FallenGameR,King of Fighters,FallenGameR,true,Nelson,,,Athena,,,
29,Vera,Pobeditel,King of Fighters,Pobeditel,true,Antonov,,,Chin,,,
30,Vera,Pobeditel,King of Fighters,Pobeditel,true,Yuri,,,King of Dino,,,
31,FallenGameR,Vera,King of Fighters,FallenGameR,true,Leona,,,Chin,,,
32,Pobeditel,FallenGameR,King of Fighters,Pobeditel,true,Tung Fu,,,Yuri,,,
33,FallenGameR,Pobeditel,King of Fighters,FallenGameR,false,Athena,,,Goro,,,
34,FallenGameR,Vera,King of Fighters,FallenGameR,true,Chin,,,Terry,,,
35,Pobeditel,Vera,King of Fighters,Pobeditel,true,Vanessa,,,Luong,,,
36,FallenGameR,Vera,Guilty Gear Xrd,FallenGameR,true,Jam Kuradoberi,,,Elphelt,,,
37,FallenGameR,Vera,Guilty Gear Xrd,FallenGameR,true,Faust,,,Slayer,,,
38,FallenGameR,Vera,Guilty Gear Xrd,FallenGameR,true,Sol Badguy,,,Slayer,,,
39,FallenGameR,Vera,Guilty Gear Xrd,FallenGameR,true,Answer,,,Elphelt,,,
40,Vera,FallenGameR,Guilty Gear Xrd,FallenGameR,true,Jam Kuradoberi,,,Jam Kuradoberi,,,
41,Pobeditel,FallenGameR,Guilty Gear Xrd,FallenGameR,false,Bedman,,,I-No,,,
42,Pobeditel,Vera,Guilty Gear Xrd,Pobeditel,true,Jack-O,,,Venom,,,
43,Vera,FallenGameR,Mortal Kombat X,FallenGameR,true,D'Vorah,,,Ermac,,,
44,Pobeditel,Vera,Mortal Kombat X,Pobeditel,true,Sub-Zero,,,Scorpion,,,
45,Pobeditel,FallenGameR,Mortal Kombat X,FallenGameR,true,Triborg,,,Quan Chi,,,
46,Vera,Pobeditel,Mortal Kombat X,Pobeditel,true,Reptile,,,Kano,,,
47,Pobeditel,Vera,Mortal Kombat X,Pobeditel,true,Goro,,,Ferra/Torr,,,

