Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Yoshimitsu,,,Sophitia,,,
2,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Talim,,,Astaroth,,,
3,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Talim,,,Siegfried,,,
4,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Cervantes,,,Talim,,,
5,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Azwel,,,Kilik,,,
6,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Astaroth,,,Siegfried,,,
7,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Groh,,,Xianghua,,,
8,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,false,Taki,,,Taki,,,
9,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Nightmare,,,Azwel,,,
10,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Groh,,,Siegfried,,,
11,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Siegfried,,,Mitsurugi,,,
12,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Talim,,,Nightmare,,,
13,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Sophitia,,,Seong Mi-Na,,,
14,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Groh,,,Azwel,,,
15,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Tira,,,Tira,,,
16,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Mitsurugi,,,Mitsurugi,,,
17,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Groh,,,Geralt,,,
18,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Azwel,,,Raphael,,,
19,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Creation,,,Raphael,,,
20,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Yoshimitsu,,,Xianghua,,,
21,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Talim,,,Zasalamel,,,
22,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Yoshimitsu,,,Geralt,,,
23,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Voldo,,,Raphael,,,
24,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Kilik,,,Xianghua,,,
25,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Creation,,,Sophitia,,,
26,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Zasalamel,,,Groh,,,
27,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Azwel,,,Mitsurugi,,,
28,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Ivy,,,Astaroth,,,
29,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Ferra/Torr,,,Raiden,,,
30,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Raiden,,,Shinnok,,,
31,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Takeda,,,Leatherface,,,
32,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Kano,,,D'Vorah,,,
33,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Takeda,,,Raiden,,,
34,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Kitana,,,Takeda,,,
35,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Predator,,,Bo'Rai Cho,,,
36,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Mileena,,,Kenshi,,,
37,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Kung Lao,,,Erron Black,,,
38,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,false,Sub-Zero,,,Predator,,,
39,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Shinnok,,,Tremor,,,
40,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Liu Kang,,,Cassie Cage,,,
41,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Cassie Cage,,,Leatherface,,,
1,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Yoshimitsu,,,Sophitia,,,
2,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Talim,,,Astaroth,,,
3,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Talim,,,Siegfried,,,
4,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Cervantes,,,Talim,,,
5,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Azwel,,,Kilik,,,
6,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Astaroth,,,Siegfried,,,
7,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Groh,,,Xianghua,,,
8,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,false,Taki,,,Taki,,,
9,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Nightmare,,,Azwel,,,
10,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Groh,,,Siegfried,,,
11,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Siegfried,,,Mitsurugi,,,
12,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Talim,,,Nightmare,,,
13,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Sophitia,,,Seong Mi-Na,,,
14,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Groh,,,Azwel,,,
15,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Tira,,,Tira,,,
16,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Mitsurugi,,,Mitsurugi,,,
17,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Groh,,,Geralt,,,
18,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Azwel,,,Raphael,,,
19,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Creation,,,Raphael,,,
20,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Yoshimitsu,,,Xianghua,,,
21,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Talim,,,Zasalamel,,,
22,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Yoshimitsu,,,Geralt,,,
23,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Voldo,,,Raphael,,,
24,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Kilik,,,Xianghua,,,
25,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Creation,,,Sophitia,,,
26,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Zasalamel,,,Groh,,,
27,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Azwel,,,Mitsurugi,,,
28,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Ivy,,,Astaroth,,,
29,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Ferra/Torr,,,Raiden,,,
30,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Raiden,,,Shinnok,,,
31,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Takeda,,,Leatherface,,,
32,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Kano,,,D'Vorah,,,
33,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Takeda,,,Raiden,,,
34,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Kitana,,,Takeda,,,
35,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Predator,,,Bo'Rai Cho,,,
36,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Mileena,,,Kenshi,,,
37,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Kung Lao,,,Erron Black,,,
38,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,false,Sub-Zero,,,Predator,,,
39,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Shinnok,,,Tremor,,,
40,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Liu Kang,,,Cassie Cage,,,
41,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Cassie Cage,,,Leatherface,,,
