Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,false,Taki,,,Seong Mi-Na,,,
2,Vera,FallenGameR,Soul Calibur 6,FallenGameR,false,Cervantes,,,Astaroth,,,
3,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Azwel,,,Sophitia,,,
4,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,false,Siegfried,,,Mitsurugi,,,
5,Pobeditel,Vera,Soul Calibur 6,Pobeditel,true,Geralt,,,Voldo,,,
6,FallenGameR,Vera,Soul Calibur 6,FallenGameR,true,Groh,,,Creation,,,
7,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Groh,,,Sophitia,,,
8,FallenGameR,Vera,Soul Calibur 6,Vera,true,Cervantes,,,Kilik,,,
9,Pobeditel,Vera,Soul Calibur 6,Pobeditel,true,Talim,,,Tira,,,
10,Pobeditel,FallenGameR,Soul Calibur 6,Pobeditel,false,Mitsurugi,,,Mitsurugi,,,
11,Vera,FallenGameR,Soul Calibur 6,Vera,false,Kilik,,,Ivy,,,
12,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Kilik,,,Kilik,,,
13,Pobeditel,Vera,Soul Calibur 6,Pobeditel,true,Talim,,,Voldo,,,
14,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,false,Creation,,,Groh,,,
15,FallenGameR,Vera,Soul Calibur 6,FallenGameR,false,Seong Mi-Na,,,Raphael,,,
16,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Groh,,,Voldo,,,
17,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Siegfried,,,Groh,,,
18,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Raphael,,,Maxi,,,
19,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Talim,,,Maxi,,,
20,Pobeditel,Vera,Soul Calibur 6,Vera,true,Ivy,,,Talim,,,
21,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Azwel,,,Zasalamel,,,
22,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,false,Zasalamel,,,Mitsurugi,,,
23,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Cervantes,,,Ivy,,,
24,FallenGameR,Vera,Soul Calibur 6,FallenGameR,true,Nightmare,,,Taki,,,
25,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Geralt,,,Geralt,,,
26,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Xianghua,,,Yoshimitsu,,,
27,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Ivy,,,Seong Mi-Na,,,
28,FallenGameR,Vera,Soul Calibur 6,FallenGameR,true,Nightmare,,,Cervantes,,,
29,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,false,Raphael,,,Voldo,,,
30,Pobeditel,Vera,Soul Calibur 6,Pobeditel,true,Geralt,,,Mitsurugi,,,
31,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Astaroth,,,Groh,,,
32,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Yoshimitsu,,,Zasalamel,,,
33,FallenGameR,Vera,Soul Calibur 6,FallenGameR,true,Creation,,,Talim,,,
34,Pobeditel,Vera,Soul Calibur 6,Pobeditel,true,Talim,,,Seong Mi-Na,,,
35,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Seong Mi-Na,,,Groh,,,
36,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,false,Geralt,,,Cervantes,,,
37,Pobeditel,FallenGameR,Soul Calibur 6,Pobeditel,true,Ivy,,,Astaroth,,,
38,FallenGameR,Vera,Soul Calibur 6,Vera,true,Talim,,,Xianghua,,,
39,Pobeditel,Vera,Soul Calibur 6,Vera,true,Raphael,,,Nightmare,,,
40,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Seong Mi-Na,,,Talim,,,
41,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Ivy,,,Talim,,,
42,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Yoshimitsu,,,Sophitia,,,
43,FallenGameR,Vera,Soul Calibur 6,FallenGameR,true,Xianghua,,,Taki,,,
44,Pobeditel,Vera,Soul Calibur 6,Pobeditel,true,Raphael,,,Creation,,,
45,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Zasalamel,,,Taki,,,
46,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Yoshimitsu,,,Yoshimitsu,,,
47,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Xianghua,,,Raphael,,,
