Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Bo'Rai Cho,,,Raiden,,
2,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Shinnok,,,Tremor,,
3,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,false,Scorpion,,,Predator,,
4,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,false,Triborg,,,Goro,,
5,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Sub-Zero,,,Mileena,,
6,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Quan Chi,,,Kano,,
7,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Raiden,,,Goro,,
8,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Jason,,,Kung Lao,,
9,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Bo'Rai Cho,,,Alien,,
10,FallenGameR,Pobeditel,Mortal Kombat X,Pobeditel,true,Jason,,,Erron Black,,
11,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Kung Lao,,,D'Vorah,,
12,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,false,Ermac,,,Kenshi,,
13,FallenGameR,Pobeditel,Mortal Kombat X,FallenGameR,true,Takeda,,,Ermac,,
14,FallenGameR,Pobeditel,Street Fighter,Pobeditel,true,Chun-Li,Laura,,Guile,Ed,
15,FallenGameR,Pobeditel,Street Fighter,FallenGameR,true,Cammy,R. Mika,,Guile,Birdie,
16,FallenGameR,Pobeditel,Street Fighter,FallenGameR,true,Guile,Urien,,Abigail,Ibuki,
17,FallenGameR,Pobeditel,Street Fighter,FallenGameR,false,F.A.N.G,Urien,,Dhalsim,Menat,
18,FallenGameR,Pobeditel,Street Fighter,FallenGameR,true,Juri,Abigail,,Ken,F.A.N.G,
19,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,false,Mai Shiranui,Momiji,,Eliot,Christie,
20,FallenGameR,Pobeditel,Dead or Alive 5,Pobeditel,true,Leifang,Hayate,,Ayane,Naotora Ii,
21,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Hitomi,Kokoro,,Phase 4,Jacky Bryant,
22,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Zack,Leon,,Ryu Hayabusa,Jann Lee,
23,FallenGameR,Pobeditel,Dead or Alive 5,Pobeditel,true,Nyotengu,Hitomi,,Raidou,Jann Lee,
24,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Momiji,Helena Douglas,,Leifang,Mila,
25,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Kokoro,Sarah Bryant,,Momiji,Raidou,
26,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Raidou,Kokoro,,Leon,Helena Douglas,
27,FallenGameR,Pobeditel,Dead or Alive 5,Pobeditel,true,Nyotengu,Kasumi,,Akira Yuki,Rig,
28,FallenGameR,Pobeditel,King of Fighters,FallenGameR,true,Antonov,,,Rock Howard,,
29,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Leona Heidern,,,Robert Garcia,,
30,FallenGameR,Pobeditel,King of Fighters,Pobeditel,false,Love Heart,,,Kim Kaphwan,,
31,FallenGameR,Pobeditel,King of Fighters,FallenGameR,true,King,,,Kyo Kusanagi,,
32,FallenGameR,Pobeditel,King of Fighters,Pobeditel,false,Kukri,,,Meitenkun,,
33,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Angel,,,Yuri Sakazaki,,

